
SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0010142 							  1
0010159 							  1
0010267 							  1
0010750 							  2
0011661 							  4
0012002 							 14
0012013 							  5
0012014 							  1
0012020 							  2
0012022 							 12
0012023 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012024 							  7
0012027 							  2
0012028 							 15
0012049 							  2
0012055 							  6
0012063 							  5
0012066 							  1
0012069 							  4
0012072 							 17
0012076 							  8
0012077 							 12

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012078 							  9
0012085 							  1
0012087 							  2
0012093 							  1
0012094 							  1
0012099 							  1
0012102 							 18
0012103 							  2
0012106 							  3
0012107 							 22
0012108 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012124 							  2
0012128 							  5
0012145 							 20
0012147 							  1
0012156 							  5
0012172 							  6
0012283 							  1
0012284 							  1
0012288 							  1
0012298 							  2
0012482 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012483 							  1
0012484 							  7
0012487 							  1
0012488 							  3
0012514 							  1
0012517 							  2
0012535 							  2
0012542 							 39
0012543 							 24
0012544 							  6
0012547 							 16

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012549 							  1
0012562 							  4
0012564 							  1
0012565 							  1
0012567 							  2
0012672 							 18
0012678 							  2
0012679 							  2
0012703 							 19
0012708 							  7
0012814 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012816 							  5
0012817 							  1
0012818 							  2
0013017 							  7
0013033 							  4
0013035 							  2
0013036 							  4
0013038 							  4
0013045 							  2
0013047 							  1
0013057 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013062 							  4
0013065 							  2
0013102 							  1
0013104 							109
0013109 							  2
0013125 							  1
0013133 							  7
0013134 							  3
0013136 							  8
0013138 							  1
0013139 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013143 							  5
0013145 							 15
0013146 							  3
0013148 							  1
0013152 							  5
0013154 							  5
0013156 							 10
0013163 							 16
0013164 							 12
0013165 							  6
0013167 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013169 							  5
0013175 							  1
0013176 							  6
0013232 							  9
0013233 							 26
0013234 							  1
0013252 							  2
0013253 							  6
0013255 							 27
0013306 							 28
0013343 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013344 							 13
0013347 							  2
0013367 							 21
0013369 							 17
0013373 							  1
0013378 							  3
0013602 							  1
0013604 							  1
0013605 							 44
0013612 							  1
0013613 							 27

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013615 							 35
0013863 							 84
0014012 							  2
0014015 							  3
0014018 							 12
0014019 							  5
0014022 							  1
0014027 							  3
0014037 							  2
0014038 							  3
0014043 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014044 							  1
0014045 							  3
0014047 							  1
0014053 							  7
0014054 							  1
0014062 							  1
0014072 							  2
0014073 							  1
0014085 							  2
0014087 							  6
0014108 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014109 							 11
0014127 							  3
0014129 							  2
0014133 							 27
0014162 							  2
0014164 							  2
0014166 							  4
0014167 							  5
0014168 							 26
0014173 							 35
0014177 							102

SUBSTR(T.CALLED,1,7)					   COUNT(*)
