
SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0000000 							  1
0010101 							  3
0010119 							  2
0011216 							  3
0012014 							  1
0012024 							  9
0012027 							  2
0012028 							 13
0012063 							  5
0012069 							  3
0012072 							  4

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012076 							  9
0012077 							 25
0012078 							  8
0012082 							  8
0012093 							  1
0012094 							  1
0012099 							  2
0012102 							 17
0012103 							  3
0012105 							  1
0012106 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012107 							 21
0012108 							  1
0012143 							  1
0012145 							 25
0012147 							  1
0012159 							  2
0012172 							  6
0012253 							  1
0012283 							  1
0012288 							  1
0012298 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012403 							  1
0012404 							  1
0012482 							 10
0012487 							  1
0012488 							  1
0012489 							  1
0012502 							  2
0012518 							  2
0012524 							  1
0012534 							  3
0012535 							  4

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012538 							  1
0012542 							 39
0012543 							 21
0012544 							  6
0012546 							  2
0012547 							 21
0012549 							  1
0012562 							  8
0012565 							  4
0012672 							 15
0012674 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0012679 							  1
0012703 							 22
0012708 							  3
0012762 							  2
0012816 							  5
0012817 							  1
0012818 							  1
0013017 							  7
0013033 							  3
0013036 							 10
0013039 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013045 							  3
0013046 							  1
0013062 							  4
0013065 							  1
0013092 							  1
0013104 							105
0013109 							  5
0013133 							 19
0013143 							 14
0013145 							  6
0013146 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013148 							  1
0013154 							  6
0013155 							  1
0013156 							 19
0013163 							 15
0013164 							 12
0013165 							  6
0013169 							  6
0013173 							  6
0013175 							  1
0013176 							  5

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013182 							  2
0013216 							  1
0013232 							  8
0013233 							 35
0013234 							  1
0013252 							  2
0013253 							  7
0013255 							 27
0013306 							 11
0013344 							 13
0013363 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0013367 							 22
0013369 							 16
0013473 							  9
0013474 							  4
0013602 							  3
0013605 							 46
0013613 							 21
0013615 							 35
0013863 							 84
0014012 							  3
0014015 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014018 							  5
0014019 							 12
0014022 							  1
0014034 							  2
0014037 							  3
0014038 							  2
0014043 							  2
0014046 							  1
0014048 							  2
0014053 							 13
0014054 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014058 							  2
0014062 							  1
0014074 							  1
0014085 							  2
0014088 							  1
0014092 							  2
0014093 							  3
0014104 							  1
0014108 							  2
0014109 							 13
0014127 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014133 							 46
0014162 							  1
0014164 							  1
0014166 							  4
0014168 							 40
0014169 							  1
0014173 							 29
0014176 							  2
0014177 							 88
0014233 							 14
0014355 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0014408 							  3
0014433 							  2
0014436 							  1
0014437 							 11
0014783 							 19
0014789 							  1
0014793 							 14
0014797 							 11
0014804 							  4
0015016 							  1
0015025 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0015035 							  2
0015054 							  2
0015082 							  3
0015086 							 12
0015087 							  1
0015088 							  3
0015103 							 49
0015106 							  7
0015108 							  4
0015122 							  3
0015123 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0015124 							  2
0015126 							  4
0015129 							 23
0015133 							  1
0015138 							  1
0015142 							  3
0015148 							  2
0015149 							  4
0015163 							  2
0015205 							  3
0015624 							143

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0015625 							  4
0015626 							 13
0015633 							  4
0015635 							 18
0015702 							  1
0015712 							 10
0015713 							  1
0015715 							  1
0015732 							  2
0015733 							 11
0015734 							  6

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0015735 							  2
0015736 							  3
0015738 							  1
0015805 							  6
0015806 							  8
0015809 							 84
0015863 							  1
0015867 							  1
0015869 							  1
0016012 							 60
0016018 							 13

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0016024 							  1
0016026 							  1
0016027 							  9
0016028 							  9
0016032 							 21
0016036 							  6
0016046 							  1
0016047 							  3
0016068 							 11
0016092 							  1
